"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.78031,2.6172e-36,4.7658e-06,7.8092e+06,1,0,50,0.05,0
0.7803,2.6603e-36,5.0102e-06,7.8092e+06,1,0.001,50,0.05,0.001
0.78028,5.4068e-36,5.2547e-06,7.8092e+06,1,0.002,50,0.05,0.002
0.78027,0,5.4991e-06,7.8092e+06,1,0.003,50,0.05,0.003
0.78025,2.7896e-36,5.7436e-06,7.8092e+06,1,0.004,50,0.05,0.004
0.78024,-2.8327e-36,5.988e-06,7.8092e+06,1,0.005,50,0.05,0.005
0.78022,2.8758e-36,6.2325e-06,7.8092e+06,1,0.006,50,0.05,0.006
0.7802,0,6.4769e-06,7.8092e+06,1,0.007,50,0.05,0.007
0.78019,0,6.7213e-06,7.8092e+06,1,0.008,50,0.05,0.008
0.78017,0,6.9658e-06,7.8092e+06,1,0.009,50,0.05,0.009
0.78016,0,7.2102e-06,7.8092e+06,1,0.01,50,0.05,0.01
0.78014,0,7.4547e-06,7.8092e+06,1,0.011,50,0.05,0.011
0.78012,0,7.6991e-06,7.8092e+06,1,0.012,50,0.05,0.012
0.78011,0,7.9436e-06,7.8092e+06,1,0.013,50,0.05,0.013
0.78009,0,8.188e-06,7.8092e+06,1,0.014,50,0.05,0.014
0.78008,0,8.4325e-06,7.8092e+06,1,0.015,50,0.05,0.015
0.78006,0,8.6769e-06,7.8092e+06,1,0.016,50,0.05,0.016
0.78004,0,8.9214e-06,7.8092e+06,1,0.017,50,0.05,0.017
0.78003,0,9.1658e-06,7.8092e+06,1,0.018,50,0.05,0.018
0.78001,0,9.4102e-06,7.8092e+06,1,0.019,50,0.05,0.019
0.77998,0,9.777e-06,7.8092e+06,1,0.02,50,0.05,0.02
0.77993,-3.0264e-36,1.0266e-05,7.8092e+06,1,0.021,50,0.05,0.021
0.77989,2.7388e-36,1.0755e-05,7.8092e+06,1,0.022,50,0.05,0.022
0.77984,0,1.1244e-05,7.8092e+06,1,0.023,50,0.05,0.023
